version,2.3.0
info,balls_per_over,6
info,team,Isle of Man
info,team,Guernsey
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/05/02
info,event,Isle of Man tour of Guernsey
info,match_id,1533394
info,match_type,T20
info,match_type_number,3829
info,overs,20
info,match_number,1
info,venue,"King George V Sports Ground, Castel"
info,city,Castel
info,toss_winner,Guernsey
info,toss_decision,field
info,umpire,Mike Kinder
info,umpire,RJ Veillard
info,reserve_umpire,P Finch
info,target_overs,2,20
info,target_runs,2,111
info,winner,Guernsey
info,winner_wickets,7
info,player,Isle of Man,A McAuley
info,player,Isle of Man,C Hartmann
info,player,Isle of Man,D Jansen
info,player,Isle of Man,C Webster
info,player,Isle of Man,G Newton
info,player,Isle of Man,J Clough
info,player,Isle of Man,S Barnett
info,player,Isle of Man,JA Burrows
info,player,Isle of Man,CJ Langford
info,player,Isle of Man,MJ Ansell
info,player,Isle of Man,C Liebenberg
info,player,Guernsey,LJ Barker
info,player,Guernsey,J Butler
info,player,Guernsey,T Nightingale
info,player,Guernsey,MWR Stokes
info,player,Guernsey,IDA Damarell
info,player,Guernsey,A Martel
info,player,Guernsey,C Forshaw
info,player,Guernsey,E Robinson
info,player,Guernsey,LT Bichard
info,player,Guernsey,M Dale-Bradley
info,player,Guernsey,A Bushell
info,registry,people,A Bushell,2d645c00
info,registry,people,A Martel,65cd62a9
info,registry,people,A McAuley,39e599c8
info,registry,people,C Forshaw,0ed66ce6
info,registry,people,C Hartmann,467c28f9
info,registry,people,C Liebenberg,83f0b848
info,registry,people,C Webster,f7bf6004
info,registry,people,CJ Langford,3967b66f
info,registry,people,D Jansen,c90346a0
info,registry,people,E Robinson,2719e9a6
info,registry,people,G Newton,57618587
info,registry,people,IDA Damarell,580ae7f2
info,registry,people,J Butler,efcb778e
info,registry,people,J Clough,1f08084c
info,registry,people,JA Burrows,dba54d8e
info,registry,people,LJ Barker,da1f80f8
info,registry,people,LT Bichard,dfcdb11e
info,registry,people,M Dale-Bradley,62b2aa65
info,registry,people,MJ Ansell,6e60a792
info,registry,people,MWR Stokes,c573d173
info,registry,people,Mike Kinder,8c773cb0
info,registry,people,P Finch,e1fd1396
info,registry,people,RJ Veillard,0a8ebf05
info,registry,people,S Barnett,e09a869b
info,registry,people,T Nightingale,51a125b3
