version,2.3.0
info,balls_per_over,6
info,team,India
info,team,England
info,team_type,international
info,gender,female
info,season,2026
info,date,2026/06/02
info,event,India Women tour of England
info,match_id,1496550
info,match_type,T20
info,match_type_number,2800
info,overs,20
info,match_number,3
info,venue,"The Cooper Associates County Ground, Taunton"
info,city,Taunton
info,toss_winner,England
info,toss_decision,field
info,player_of_match,A Capsey
info,umpire,ID Blackwell
info,umpire,S Redfern
info,reserve_umpire,WRP Fernando
info,tv_umpire,James Middlebrook
info,match_referee,Phil Whitticase
info,target_overs,2,20
info,target_runs,2,181
info,winner,England
info,winner_wickets,6
info,player,India,S Mandhana
info,player,India,Shafali Verma
info,player,India,YH Bhatia
info,player,India,JI Rodrigues
info,player,India,H Kaur
info,player,India,DB Sharma
info,player,India,RM Ghosh
info,player,India,A Reddy
info,player,India,K Goud
info,player,India,N Shree Charani
info,player,India,NSS Sharma
info,player,England,SIR Dunkley
info,player,England,DN Wyatt
info,player,England,AE Jones
info,player,England,A Capsey
info,player,England,HC Knight
info,player,England,FG Kemp
info,player,England,DR Gibson
info,player,England,CE Dean
info,player,England,S Ecclestone
info,player,England,LCN Smith
info,player,England,LK Bell
info,registry,people,A Capsey,910dd54e
info,registry,people,A Reddy,eadc8924
info,registry,people,AE Jones,b05e45e4
info,registry,people,CE Dean,c6625a26
info,registry,people,DB Sharma,201fef33
info,registry,people,DN Wyatt,a139c379
info,registry,people,DR Gibson,d2763568
info,registry,people,FG Kemp,abc9f8a4
info,registry,people,H Kaur,53cd8da6
info,registry,people,HC Knight,4ba0289e
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,K Goud,4d622fee
info,registry,people,LCN Smith,340202b0
info,registry,people,LK Bell,38b4583c
info,registry,people,N Shree Charani,583ce32c
info,registry,people,NSS Sharma,5f22ccae
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,RM Ghosh,721e0199
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Redfern,5b038989
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,Shafali Verma,d8f59089
info,registry,people,WRP Fernando,7d98d385
info,registry,people,YH Bhatia,9c3d4e8a
