match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,0.1,0.1,Argentina,Mexico,P Baron,A Ferguson,Pratik Singh Bais,0,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,0.2,0.2,Argentina,Mexico,P Baron,A Ferguson,Pratik Singh Bais,1,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,0.3,0.3,Argentina,Mexico,A Ferguson,P Baron,Pratik Singh Bais,0,1,1,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,0.4,0.3,Argentina,Mexico,A Ferguson,P Baron,Pratik Singh Bais,4,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,0.5,0.4,Argentina,Mexico,A Ferguson,P Baron,Pratik Singh Bais,0,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,0.6,0.5,Argentina,Mexico,A Ferguson,P Baron,Pratik Singh Bais,0,1,,,,1,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,0.7,0.6,Argentina,Mexico,P Baron,A Ferguson,Pratik Singh Bais,2,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,1.1,1.1,Argentina,Mexico,A Ferguson,P Baron,Bhargav Narasimha,0,1,1,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,1.2,1.1,Argentina,Mexico,A Ferguson,P Baron,Bhargav Narasimha,4,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,1.3,1.2,Argentina,Mexico,A Ferguson,P Baron,Bhargav Narasimha,0,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,1.4,1.3,Argentina,Mexico,A Ferguson,P Baron,Bhargav Narasimha,1,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,1.5,1.4,Argentina,Mexico,P Baron,A Ferguson,Bhargav Narasimha,1,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,1.6,1.5,Argentina,Mexico,A Ferguson,P Baron,Bhargav Narasimha,0,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,1.7,1.6,Argentina,Mexico,A Ferguson,P Baron,Bhargav Narasimha,4,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,2.1,2.1,Argentina,Mexico,P Baron,A Ferguson,Pratik Singh Bais,0,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,2.2,2.2,Argentina,Mexico,P Baron,A Ferguson,Pratik Singh Bais,1,0,,,,,,,,,,,,,
1525174,2025/26,2026-03-14,"Jimmy Powell Oval, Cayman Islands",1,2.3,2.3,Argentina,Mexico,A Ferguson,P Baron,Pratik Singh Bais,0,0,,,,,,,,,,,,,
