match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,0.1,0.1,Sri Lanka,Bangladesh,P Nissanka,BKG Mendis,Shoriful Islam,4,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,0.2,0.2,Sri Lanka,Bangladesh,P Nissanka,BKG Mendis,Shoriful Islam,3,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,0.3,0.3,Sri Lanka,Bangladesh,BKG Mendis,P Nissanka,Shoriful Islam,0,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,0.4,0.4,Sri Lanka,Bangladesh,BKG Mendis,P Nissanka,Shoriful Islam,0,1,1,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,0.5,0.4,Sri Lanka,Bangladesh,BKG Mendis,P Nissanka,Shoriful Islam,4,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,0.6,0.5,Sri Lanka,Bangladesh,BKG Mendis,P Nissanka,Shoriful Islam,2,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,0.7,0.6,Sri Lanka,Bangladesh,BKG Mendis,P Nissanka,Shoriful Islam,0,0,,,,,,,caught,BKG Mendis,,,Towhid Hridoy,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,1.1,1.1,Sri Lanka,Bangladesh,P Nissanka,MDKJ Perera,Mahedi Hasan,2,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,1.2,1.2,Sri Lanka,Bangladesh,P Nissanka,MDKJ Perera,Mahedi Hasan,2,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,1.3,1.3,Sri Lanka,Bangladesh,P Nissanka,MDKJ Perera,Mahedi Hasan,0,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,1.4,1.4,Sri Lanka,Bangladesh,P Nissanka,MDKJ Perera,Mahedi Hasan,1,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,1.5,1.5,Sri Lanka,Bangladesh,MDKJ Perera,P Nissanka,Mahedi Hasan,0,0,,,,,,,caught,MDKJ Perera,,,Tanzid Hasan,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,1.6,1.6,Sri Lanka,Bangladesh,LD Chandimal,P Nissanka,Mahedi Hasan,2,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,2.1,2.1,Sri Lanka,Bangladesh,P Nissanka,LD Chandimal,Shoriful Islam,0,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,2.2,2.2,Sri Lanka,Bangladesh,P Nissanka,LD Chandimal,Shoriful Islam,2,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,2.3,2.3,Sri Lanka,Bangladesh,P Nissanka,LD Chandimal,Shoriful Islam,2,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,2.4,2.4,Sri Lanka,Bangladesh,P Nissanka,LD Chandimal,Shoriful Islam,1,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,2.5,2.5,Sri Lanka,Bangladesh,LD Chandimal,P Nissanka,Shoriful Islam,1,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,2.6,2.6,Sri Lanka,Bangladesh,P Nissanka,LD Chandimal,Shoriful Islam,1,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,3.1,3.1,Sri Lanka,Bangladesh,P Nissanka,LD Chandimal,Mustafizur Rahman,0,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,3.2,3.2,Sri Lanka,Bangladesh,P Nissanka,LD Chandimal,Mustafizur Rahman,2,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,3.3,3.3,Sri Lanka,Bangladesh,P Nissanka,LD Chandimal,Mustafizur Rahman,1,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,3.4,3.4,Sri Lanka,Bangladesh,LD Chandimal,P Nissanka,Mustafizur Rahman,0,0,,,,,,,,,,,,,
1485510,2025,2025-07-16,"R Premadasa Stadium, Colombo",1,3.5,3.5,Sri Lanka,Bangladesh,LD Chandimal,P Nissanka,Mustafizur Rahman,1,0,,,,,,,,,,,,,
