match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1510312,2025/26,2025-11-30,"Terdthai Cricket Ground, Bangkok",1,0.1,0.1,Papua New Guinea,Tanzania,N Vare,H Doriga,PZ Kamunya,0,0,,,,,,,,,,,,,
1510312,2025/26,2025-11-30,"Terdthai Cricket Ground, Bangkok",1,0.2,0.2,Papua New Guinea,Tanzania,N Vare,H Doriga,PZ Kamunya,0,0,,,,,,,bowled,N Vare,,,,,
1510312,2025/26,2025-11-30,"Terdthai Cricket Ground, Bangkok",1,0.3,0.3,Papua New Guinea,Tanzania,B Tau,H Doriga,PZ Kamunya,0,0,,,,,,,,,,,,,
1510312,2025/26,2025-11-30,"Terdthai Cricket Ground, Bangkok",1,0.4,0.4,Papua New Guinea,Tanzania,B Tau,H Doriga,PZ Kamunya,0,0,,,,,,,,,,,,,
1510312,2025/26,2025-11-30,"Terdthai Cricket Ground, Bangkok",1,0.5,0.5,Papua New Guinea,Tanzania,B Tau,H Doriga,PZ Kamunya,2,0,,,,,,,,,,,,,
1510312,2025/26,2025-11-30,"Terdthai Cricket Ground, Bangkok",1,0.6,0.6,Papua New Guinea,Tanzania,B Tau,H Doriga,PZ Kamunya,0,0,,,,,,,,,,,,,
1510312,2025/26,2025-11-30,"Terdthai Cricket Ground, Bangkok",1,1.1,1.1,Papua New Guinea,Tanzania,H Doriga,B Tau,S Kizito,4,0,,,,,,,,,,,,,
1510312,2025/26,2025-11-30,"Terdthai Cricket Ground, Bangkok",1,1.2,1.2,Papua New Guinea,Tanzania,H Doriga,B Tau,S Kizito,1,0,,,,,,,,,,,,,
1510312,2025/26,2025-11-30,"Terdthai Cricket Ground, Bangkok",1,1.3,1.3,Papua New Guinea,Tanzania,B Tau,H Doriga,S Kizito,0,0,,,,,,,,,,,,,
1510312,2025/26,2025-11-30,"Terdthai Cricket Ground, Bangkok",1,1.4,1.4,Papua New Guinea,Tanzania,B Tau,H Doriga,S Kizito,0,0,,,,,,,,,,,,,
1510312,2025/26,2025-11-30,"Terdthai Cricket Ground, Bangkok",1,1.5,1.5,Papua New Guinea,Tanzania,B Tau,H Doriga,S Kizito,0,0,,,,,,,,,,,,,
