version,2.3.0
info,balls_per_over,6
info,team,Pakistan
info,team,Australia
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2026/01/31
info,event,Australia tour of Pakistan
info,match_id,1519637
info,match_type,T20
info,match_type_number,3678
info,overs,20
info,match_number,2
info,venue,"Gaddafi Stadium, Lahore"
info,city,Lahore
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,Agha Salman
info,umpire,Ahsan Raza
info,umpire,Rashid Riaz
info,reserve_umpire,Nasir Hussain
info,tv_umpire,Asif Yaqoob
info,match_referee,Ali Naqvi
info,target_overs,2,20
info,target_runs,2,199
info,winner,Pakistan
info,winner_runs,90
info,player,Pakistan,Sahibzada Farhan
info,player,Pakistan,Saim Ayub
info,player,Pakistan,Agha Salman
info,player,Pakistan,Babar Azam
info,player,Pakistan,Usman Khan
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Mohammad Nawaz
info,player,Pakistan,Faheem Ashraf
info,player,Pakistan,Naseem Shah
info,player,Pakistan,Usman Tariq
info,player,Pakistan,Abrar Ahmed
info,player,Australia,MR Marsh
info,player,Australia,TM Head
info,player,Australia,C Green
info,player,Australia,JP Inglis
info,player,Australia,MT Renshaw
info,player,Australia,C Connolly
info,player,Australia,MW Short
info,player,Australia,XC Bartlett
info,player,Australia,SA Abbott
info,player,Australia,MP Kuhnemann
info,player,Australia,A Zampa
info,registry,people,A Zampa,14f96089
info,registry,people,Abrar Ahmed,abb7c76c
info,registry,people,Agha Salman,89c16049
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,Babar Azam,8a75e999
info,registry,people,C Connolly,fe366f34
info,registry,people,C Green,eaa76d3c
info,registry,people,Faheem Ashraf,bd4ea627
info,registry,people,JP Inglis,989889ff
info,registry,people,MP Kuhnemann,7b953689
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MT Renshaw,218d4d78
info,registry,people,MW Short,a90e53ec
info,registry,people,Mohammad Nawaz,3086f7a4
info,registry,people,Naseem Shah,9c9af282
info,registry,people,Nasir Hussain,5b2fe85b
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,SA Abbott,1a2676c5
info,registry,people,Sahibzada Farhan,1aba45cd
info,registry,people,Saim Ayub,33609a8c
info,registry,people,Shadab Khan,9de62878
info,registry,people,TM Head,12b610c2
info,registry,people,Usman Khan,bafb9238
info,registry,people,Usman Tariq,e94d1dcd
info,registry,people,XC Bartlett,3b53243a
