match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1533391,2026,2026-05-02,"Bayuemas Oval, Kuala Lumpur",1,0.1,0.1,Malaysia,Indonesia,Aslam Khan,Adeshlie Alias,F Banunaek,0,0,,,,,,,,,,,,,
1533391,2026,2026-05-02,"Bayuemas Oval, Kuala Lumpur",1,0.2,0.2,Malaysia,Indonesia,Aslam Khan,Adeshlie Alias,F Banunaek,0,0,,,,,,,,,,,,,
1533391,2026,2026-05-02,"Bayuemas Oval, Kuala Lumpur",1,0.3,0.3,Malaysia,Indonesia,Aslam Khan,Adeshlie Alias,F Banunaek,1,1,,1,,,,,,,,,,,
1533391,2026,2026-05-02,"Bayuemas Oval, Kuala Lumpur",1,0.4,0.3,Malaysia,Indonesia,Adeshlie Alias,Aslam Khan,F Banunaek,0,0,,,,,,,,,,,,,
1533391,2026,2026-05-02,"Bayuemas Oval, Kuala Lumpur",1,0.5,0.4,Malaysia,Indonesia,Adeshlie Alias,Aslam Khan,F Banunaek,1,0,,,,,,,,,,,,,
1533391,2026,2026-05-02,"Bayuemas Oval, Kuala Lumpur",1,0.6,0.5,Malaysia,Indonesia,Aslam Khan,Adeshlie Alias,F Banunaek,0,0,,,,,,,,,,,,,
1533391,2026,2026-05-02,"Bayuemas Oval, Kuala Lumpur",1,0.7,0.6,Malaysia,Indonesia,Aslam Khan,Adeshlie Alias,F Banunaek,1,0,,,,,,,,,,,,,
1533391,2026,2026-05-02,"Bayuemas Oval, Kuala Lumpur",1,1.1,1.1,Malaysia,Indonesia,Aslam Khan,Adeshlie Alias,DJ Hawoe,0,1,1,,,,,,,,,,,,
1533391,2026,2026-05-02,"Bayuemas Oval, Kuala Lumpur",1,1.2,1.1,Malaysia,Indonesia,Aslam Khan,Adeshlie Alias,DJ Hawoe,0,0,,,,,,,,,,,,,
1533391,2026,2026-05-02,"Bayuemas Oval, Kuala Lumpur",1,1.3,1.2,Malaysia,Indonesia,Aslam Khan,Adeshlie Alias,DJ Hawoe,4,0,,,,,,,,,,,,,
