version,2.3.0
info,balls_per_over,6
info,team,South Africa
info,team,West Indies
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/06/20
info,event,South Africa Women tour of West Indies
info,match_id,1472537
info,match_type,T20
info,match_type_number,2370
info,overs,50
info,match_number,1
info,venue,"Three Ws Oval, Cave Hill, Barbados"
info,city,Cave Hill
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,T Brits
info,umpire,C La Borde
info,umpire,N Perera
info,reserve_umpire,M Abbott
info,tv_umpire,JM Williams
info,match_referee,Akhtar Ahmad
info,target_overs,2,20
info,target_runs,2,184
info,winner,South Africa
info,winner_runs,50
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,M Kapp
info,player,South Africa,N de Klerk
info,player,South Africa,M Smit
info,player,South Africa,CL Tryon
info,player,South Africa,A Dercksen
info,player,South Africa,K Meso
info,player,South Africa,M Klaas
info,player,South Africa,N Mlaba
info,player,South Africa,A Khaka
info,player,West Indies,Q Joseph
info,player,West Indies,HK Matthews
info,player,West Indies,RMAU Grimmond
info,player,West Indies,SA Campbelle
info,player,West Indies,CA Henry
info,player,West Indies,S Gajnabi
info,player,West Indies,J Glasgow
info,player,West Indies,AA Alleyne
info,player,West Indies,JKC Claxton
info,player,West Indies,ASS Fletcher
info,player,West Indies,K Ramharack
info,registry,people,A Dercksen,d2b1f515
info,registry,people,A Khaka,0d518f89
info,registry,people,AA Alleyne,4b0e3049
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,Akhtar Ahmad,29859e71
info,registry,people,C La Borde,32157f67
info,registry,people,CA Henry,75820733
info,registry,people,CL Tryon,4d4605e6
info,registry,people,HK Matthews,d32cf49a
info,registry,people,J Glasgow,a2632c7c
info,registry,people,JKC Claxton,e22f8ec1
info,registry,people,JM Williams,b61d9d70
info,registry,people,K Meso,130336c6
info,registry,people,K Ramharack,321c980e
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Abbott,3e5f0c04
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Klaas,ce85fcaf
info,registry,people,M Smit,996ed07c
info,registry,people,N Mlaba,686362af
info,registry,people,N Perera,129709f9
info,registry,people,N de Klerk,ea544967
info,registry,people,Q Joseph,d6164dc0
info,registry,people,RMAU Grimmond,5215d4c3
info,registry,people,S Gajnabi,c35739a1
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,T Brits,06659caa
