version,2.3.0
info,balls_per_over,6
info,team,United States of America
info,team,Papua New Guinea
info,team_type,international
info,gender,male
info,season,2023
info,date,2023/04/02
info,event,ICC Cricket World Cup Qualifier Play-off
info,match_id,1365101
info,match_type,ODI
info,match_type_number,4561
info,overs,50
info,match_number,10
info,venue,"Wanderers Cricket Ground, Windhoek"
info,city,Windhoek
info,toss_winner,United States of America
info,toss_decision,bat
info,player_of_match,SR Taylor
info,umpire,Claus Schumacher
info,umpire,Patric Makumbi
info,reserve_umpire,A Louw
info,match_referee,GH Pienaar
info,target_overs,2,50
info,target_runs,2,236
info,winner,United States of America
info,winner_runs,117
info,player,United States of America,SR Taylor
info,player,United States of America,SJ Modani
info,player,United States of America,SR Mukkamalla
info,player,United States of America,MD Patel
info,player,United States of America,Aaron Jones
info,player,United States of America,G Singh
info,player,United States of America,Jasdeep Singh
info,player,United States of America,NP Kenjige
info,player,United States of America,NK Patel
info,player,United States of America,SN Netravalkar
info,player,United States of America,Ali Khan
info,player,Papua New Guinea,TP Ura
info,player,Papua New Guinea,K Doriga
info,player,Papua New Guinea,S Bau
info,player,Papua New Guinea,A Vala
info,player,Papua New Guinea,H Hiri
info,player,Papua New Guinea,CJA Amini
info,player,Papua New Guinea,R Hekure
info,player,Papua New Guinea,G Toka
info,player,Papua New Guinea,CA Soper
info,player,Papua New Guinea,SI Kamea
info,player,Papua New Guinea,J Kariko
info,registry,people,A Louw,5eecae5d
info,registry,people,A Vala,72e60730
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,Ali Khan,b0eaaac6
info,registry,people,CA Soper,9920dd86
info,registry,people,CJA Amini,4d84ad05
info,registry,people,Claus Schumacher,85645e62
info,registry,people,G Singh,e93b6c95
info,registry,people,G Toka,c3564c2d
info,registry,people,GH Pienaar,3516e46b
info,registry,people,H Hiri,9dc3ea7e
info,registry,people,J Kariko,cde067e1
info,registry,people,Jasdeep Singh,5ec41cd7
info,registry,people,K Doriga,365229a8
info,registry,people,MD Patel,25d7f1ac
info,registry,people,NK Patel,c6e10e5c
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Hekure,c70448aa
info,registry,people,S Bau,9a95bebb
info,registry,people,SI Kamea,0730a707
info,registry,people,SJ Modani,290cba17
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,SR Mukkamalla,156d0ea2
info,registry,people,SR Taylor,a9231c3f
info,registry,people,TP Ura,a82eb3fb
