version,2.3.0
info,balls_per_over,6
info,team,Oman
info,team,United States of America
info,team_type,international
info,gender,male
info,season,2025
info,date,2025/05/21
info,event,ICC Men's Cricket World Cup League 2
info,match_id,1482566
info,match_type,ODI
info,match_type_number,4874
info,overs,50
info,match_number,69
info,venue,"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
info,city,Lauderhill
info,toss_winner,United States of America
info,toss_decision,field
info,player_of_match,Jatinder Singh
info,umpire,Jermaine Lindo
info,umpire,LS Reifer
info,reserve_umpire,Vijaya Mallela
info,match_referee,Reon King
info,super_over,3
info,super_over,4
info,target_overs,2,50
info,target_runs,2,267
info,outcome,tie
info,eliminator,Oman
info,player,Oman,Jatinder Singh
info,player,Oman,Aamir Kaleem
info,player,Oman,PD Macchi
info,player,Oman,Hammad Mirza
info,player,Oman,Mujibur Ali
info,player,Oman,Mohammad Nadeem
info,player,Oman,V Shukla
info,player,Oman,Sufyan Mehmood
info,player,Oman,Hassnain Shah
info,player,Oman,Shakeel Ahmed
info,player,Oman,S Shrivastava
info,player,United States of America,SK Patel
info,player,United States of America,AGS Gous
info,player,United States of America,MD Patel
info,player,United States of America,SR Mukkamalla
info,player,United States of America,Milind Kumar
info,player,United States of America,Shayan Jahangir
info,player,United States of America,SP Krishnamurthi
info,player,United States of America,Harmeet Singh
info,player,United States of America,Jasdeep Singh
info,player,United States of America,NP Kenjige
info,player,United States of America,SN Netravalkar
info,registry,people,AGS Gous,d1305df0
info,registry,people,Aamir Kaleem,7ecb9a14
info,registry,people,Hammad Mirza,0b7b78c6
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,Hassnain Shah,7cb931fc
info,registry,people,Jasdeep Singh,5ec41cd7
info,registry,people,Jatinder Singh,b80dd12c
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,LS Reifer,5dee559a
info,registry,people,MD Patel,25d7f1ac
info,registry,people,Milind Kumar,b4296080
info,registry,people,Mohammad Nadeem,c5d7b244
info,registry,people,Mujibur Ali,e88468b7
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,PD Macchi,8ec9db50
info,registry,people,Reon King,20fbf68c
info,registry,people,S Shrivastava,ac166f77
info,registry,people,SK Patel,f93b43dd
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,SP Krishnamurthi,3b8e7647
info,registry,people,SR Mukkamalla,156d0ea2
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,Shayan Jahangir,571e1d2a
info,registry,people,Sufyan Mehmood,bf172ae6
info,registry,people,V Shukla,101b1180
info,registry,people,Vijaya Mallela,85b6244a
